Material,1960,1970,1980,1990,2000,2005,2010,2015,2017,2018
Paper and Paperboard,30.2%,33.2%,31.7%,30.0%,28.8%,24.7%,16.1%,13.3%,13.1%,11.8%
Glass,8.0%,11.1%,10.5%,6.0%,5.8%,5.8%,5.1%,5.0%,5.4%,5.2%
Metals - Ferrous,12.4%,10.8%,8.9%,6.0%,5.6%,6.0%,6.8%,7.2%,7.4%,7.2%
Metals - Aluminum,0.4%,0.7%,1.0%,1.0%,1.4%,1.6%,1.8%,1.8%,1.9%,1.8%
Metals - Other Nonferrous,0.2%,0.3%,0.4%,0.2%,0.3%,0.3%,0.4%,0.5%,0.5%,0.5%
Total Metals,13.0%,11.8%,10.3%,7.2%,7.3%,7.9%,9.0%,9.5%,9.8%,9.5%
Plastics,0.5%,2.6%,5.0%,9.5%,14.2%,16.4%,17.9%,18.9%,19.1%,18.5%
Rubber and Leather,1.8%,2.4%,3.0%,3.2%,2.8%,2.9%,3.2%,3.3%,3.5%,3.4%
Textiles,2.1%,1.7%,1.7%,2.9%,4.5%,5.3%,6.5%,7.7%,7.9%,7.7%
Wood,3.7%,3.3%,5.1%,6.9%,7.1%,7.5%,8.2%,8.0%,8.7%,8.3%
Other **,0.1%,0.4%,1.5%,1.4%,1.8%,1.8%,2.1%,2.2%,2.2%,2.0%
Total Materials in Products,59.4%,66.6%,68.8%,67.1%,72.3%,72.3%,68.1%,67.9%,69.7%,66.4%
Food,14.8%,11.3%,9.5%,13.6%,17.3%,18.5%,21.0%,22.0%,21.8%,24.1%
Yard Trimmings,24.2%,20.5%,20.1%,17.6%,8.5%,7.0%,8.6%,7.8%,6.2%,7.2%
Miscellaneous Inorganic,,,,,,,,,,
Wastes,1.6%,1.6%,1.6%,1.7%,1.9%,2.2%,2.3%,2.3%,2.3%,2.3%
Total Other Wastes,40.6%,33.4%,31.2%,32.9%,27.7%,27.7%,31.9%,32.1%,30.3%,33.6%
